year,GMSL,population,popChangePercent
1880,-158.725,0.0,0.0
1881,-153.058,0.0,0.0
1882,-169.883,0.0,0.0
1883,-164.592,0.0,0.0
1884,-143.75,0.0,0.0
1885,-145.242,0.0,0.0
1886,-147.575,0.0,0.0
1887,-153.2,0.0,0.0
1888,-151.075,0.0,0.0
1889,-149.5,0.0,0.0
1890,-147.525,0.0,0.0
1891,-149.183,0.0,0.0
1892,-146.042,0.0,0.0
1893,-141.3,0.0,0.0
1894,-150.983,0.0,0.0
1895,-139.183,0.0,0.0
1896,-146.817,0.0,0.0
1897,-141.608,0.0,0.0
1898,-132.217,0.0,0.0
1899,-124.742,0.0,0.0
1900,-130.1,0.0,0.0
1901,-130.533,0.0,0.0
1902,-125.917,0.0,0.0
1903,-117.85,0.0,0.0
1904,-128.158,0.0,0.0
1905,-133.733,0.0,0.0
1906,-126.883,0.0,0.0
1907,-128.275,0.0,0.0
1908,-130.792,0.0,0.0
1909,-126.308,0.0,0.0
1910,-126.417,0.0,0.0
1911,-118.058,0.0,0.0
1912,-121.167,0.0,0.0
1913,-119.392,0.0,0.0
1914,-113.05,0.0,0.0
1915,-105.183,0.0,0.0
1916,-107.117,0.0,0.0
1917,-111.633,0.0,0.0
1918,-113.217,0.0,0.0
1919,-111.592,0.0,0.0
1920,-110.25,0.0,0.0
1921,-108.233,0.0,0.0
1922,-109.125,0.0,0.0
1923,-107.942,0.0,0.0
1924,-115.233,0.0,0.0
1925,-113.192,0.0,0.0
1926,-106.692,0.0,0.0
1927,-107.758,0.0,0.0
1928,-111.65,0.0,0.0
1929,-110.283,0.0,0.0
1930,-106.317,0.0,0.0
1931,-106.7,0.0,0.0
1932,-101.033,0.0,0.0
1933,-96.692,0.0,0.0
1934,-102.042,0.0,0.0
1935,-96.467,0.0,0.0
1936,-100.392,0.0,0.0
1937,-94.692,0.0,0.0
1938,-92.075,0.0,0.0
1939,-86.875,0.0,0.0
1940,-92.192,0.0,0.0
1941,-79.992,0.0,0.0
1942,-80.05,0.0,0.0
1943,-80.0,0.0,0.0
1944,-86.442,0.0,0.0
1945,-83.633,0.0,0.0
1946,-76.108,0.0,0.0
1947,-72.942,0.0,0.0
1948,-68.217,0.0,0.0
1949,-69.5,0.0,0.0
1950,-67.3,0.0,0.0
1951,-57.833,2543130380.0,1.75
1952,-60.383,2590270899.0,1.85
1953,-55.967,2640278797.0,1.93
1954,-58.933,2691979339.0,1.96
1955,-57.975,2746072141.0,2.01
1956,-63.117,2801002631.0,2.0
1957,-49.683,2857866857.0,2.03
1958,-48.308,2916108097.0,2.04
1959,-48.017,2970292188.0,1.86
1960,-44.267,3019233434.0,1.65
1961,-38.092,3068370609.0,1.63
1962,-43.317,3126686743.0,1.9
1963,-44.925,3195779247.0,2.21
1964,-52.825,3267212338.0,2.24
1965,-41.542,3337111983.0,2.14
1966,-46.967,3406417036.0,2.08
1967,-45.608,3475448166.0,2.03
1968,-44.808,3546810808.0,2.05
1969,-38.0,3620655275.0,2.08
1970,-39.942,3695390336.0,2.06
1971,-34.725,3770163092.0,2.02
1972,-25.592,3844800885.0,1.98
1973,-31.592,3920251504.0,1.96
1974,-19.717,3995517077.0,1.92
1975,-21.275,4069437231.0,1.85
1976,-22.35,4142505882.0,1.8
1977,-23.967,4215772490.0,1.77
1978,-17.567,4289657708.0,1.75
1979,-22.533,4365582871.0,1.77
1980,-16.525,4444007706.0,1.8
1981,-4.075,4524627658.0,1.81
1982,-9.858,4607984871.0,1.84
1983,-1.467,4691884238.0,1.82
1984,-2.392,4775836074.0,1.79
1985,-12.683,4861730613.0,1.8
1986,-12.058,4950063339.0,1.82
1987,-11.458,5040984495.0,1.84
1988,-6.758,5132293974.0,1.81
1989,-2.317,5223704308.0,1.78
1990,0.008,5316175862.0,1.77
1991,2.508,5406245867.0,1.69
1992,3.167,5492686093.0,1.6
1993,1.417,5577433523.0,1.54
1994,6.575,5660727993.0,1.49
1995,9.525,5743219454.0,1.46
1996,13.667,5825145298.0,1.43
1997,20.558,5906481261.0,1.4
1998,10.667,5987312480.0,1.37
1999,19.225,6067758458.0,1.34
2000,20.483,6148898975.0,1.34
2001,25.983,6230746982.0,1.33
2002,28.358,6312407360.0,1.31
2003,37.608,6393898365.0,1.29
2004,37.183,6475751478.0,1.28
2005,37.292,6558176119.0,1.27
2006,41.567,6641416218.0,1.27
2007,43.483,6725948544.0,1.27
2008,52.2,6811597272.0,1.27
2009,58.017,6898305908.0,1.27
2010,65.75,6985603105.0,1.27
2011,67.3,7073125425.0,1.25
2012,76.083,7161697921.0,1.25
2013,67.725,7250593370.0,1.24
2014,30.078,7339013419.0,1.22
2015,40.897,7426597537.0,1.19
2016,43.278,7513474238.0,1.17
2017,44.345,7599822404.0,1.15
2018,48.611,7683789828.0,1.1
2019,55.746,7764951032.0,1.06
2020,56.42,7840952880.0,0.98
2021,56.901,7909295151.0,0.87
